genus_and_species,superkingdom,phylum,class,order,family,genus,Tmin,Topt_ave,Tmax,gc_count,gc_percentage,genome_size,accession,coding_bases,coding_density,ncbi_biosample,ncbi_country,ncbi_isolation_source,ncbi_lat_lon,gtdb_representative,ncbi_ncrna_count,ncbi_organism_name,ncbi_protein_count,ncbi_rrna_count,ncbi_trna_count,protein_count,trna_aa_count,trna_count,checkm2_completeness,checkm2_contamination
Methanocaldococcus villosus,Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,55,80,90,368545,29.498113071631245,1249385,RS_GCF_000371805.1,1178502,94.32656867178652,SAMN02261307,Iceland,Hot marine sediment,67.096 N 18.711 W,TRUE,0,Methanocaldococcus villosus KIN24-T80,1363,6,37,1379,19,37,96.83,0.03
Methanocaldococcus vulcanius,Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,49,80,89,556282,31.575768687380695,1761737,RS_GCF_000024625.1,1500866,85.19239818429197,SAMN02598493,none,none,none,TRUE,0,Methanocaldococcus vulcanius M7,1715,6,37,1761,19,37,99.82,0.1
Methanocella arvoryzae,Archaea,Euryarchaeota,Methanomicrobia,Methanocellales,Methanocellaceae,Methanocella,37,45,55,1736328,54.60295177608465,3179916,RS_GCF_000063445.1,2677976,84.21530631626747,SAMEA3138262,none,none,none,TRUE,0,Methanocella arvoryzae MRE50,3103,9,51,3117,19,51,99.99,0.37
Methanocella conradii,Archaea,Euryarchaeota,Methanomicrobia,Methanocellales,Methanocellaceae,Methanocella,37,55,60,1247700,52.67993383025383,2369358,RS_GCF_030019315.1,2120590,89.5006157786202,SAMN34587887,Russia: Yessentuki mineral water deposit,groundwater,44.11401979 N 42.90694440 E,FALSE,0,Methanocella conradii,none,3,47,2526,19,47,99.98,0.49
Methanocella paludicola,Archaea,Euryarchaeota,Methanomicrobia,Methanocellales,Methanocellaceae,Methanocella,25,36,40,1624241,54.91688460543644,2957635,RS_GCF_000011005.1,2580951,87.26401330793016,SAMD00060931,none,none,none,TRUE,0,Methanocella paludicola SANAE,none,8,49,3055,19,49,99.99,0.53
Methanococcoides alaskense,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanococcoides,-2.3,23.6,30.6,1024239,41.68811299075383,2456909,RS_GCF_031454185.1,2106199,85.72556004312736,SAMN18250245,none,none,none,TRUE,0,Methanococcoides alaskense,none,5,47,2389,19,47,99.48,0.4
Methanococcoides burtonii,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanococcoides,-2.5,23.4,29.5,1049534,40.758095433377136,2575032,RS_GCF_000013725.1,2192181,85.13218476508253,SAMN02598545,none,none,none,TRUE,0,Methanococcoides burtonii DSM 6242,2509,12,51,2616,19,51,99.89,0.37
Methanococcoides methylutens,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanococcoides,15,32.5,35,1066067,42.497999809448714,2508511,RS_GCF_000765475.1,2160320,86.11961438478842,SAMN03067868,USA: La Jolla; CA,submarine canyon sediments off the coast of southern California,none,TRUE,0,Methanococcoides methylutens,2412,6,53,2464,19,53,99.87,0.02
Methanococcus aeolicus,Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanococcus,20,46,55,502123,29.928570491936167,1677738,RS_GCF_025449255.1,1420301,84.65570905588358,SAMN30825808,Italy: Lipari Island,Italy,none,FALSE,0,Methanococcus aeolicus,none,8,39,1614,19,39,99.68,0
Methanococcus maripaludis,Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanococcus,18,38,47,582807,33.15581795694802,1758457,RS_GCF_013760955.1,1550796,88.19072630152458,SAMN14908334,USA: georgia; Sapelo Island,none,none,TRUE,0,Methanococcus maripaludis,none,4,37,1835,19,37,99.69,0.14
Methanococcus vannielii,Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanococcus,20,37.5,45,538862,31.328311768043683,1720048,RS_GCF_000017165.1,1492988,86.79920560356454,SAMN02598403,none,none,none,TRUE,0,Methanococcus vannielii SB,1703,13,38,1746,19,38,99.96,0.28
Methanococcus voltae,Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanococcus,20,37.5,45,529877,28.519305323745037,1857959,RS_GCF_024807655.1,1488598,80.12006723506816,SAMN18259938,none,none,none,TRUE,0,Methanococcus voltae,none,5,36,1673,19,36,97.43,0.02
Methanocorpusculum bavaricum,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanocorpusculaceae,Methanocorpusculum,15,37,40,875633,51.42874427204287,1706782,RS_GCF_000430905.1,1503694,88.10111660422947,SAMN02441137,Germany,none,49.01468 N 12.124944 E,FALSE,0,Methanocorpusculum bavaricum DSM 4179,1722,5,47,1747,19,47,94.24,0.14
Methanocorpusculum labreanum,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanocorpusculaceae,Methanocorpusculum,25,37,40,902600,50.00659293658259,1804962,RS_GCF_000015765.1,1596043,88.42529648823631,SAMN00623052,none,none,none,TRUE,0,Methanocorpusculum labreanum Z,1815,9,53,1816,19,53,98.16,0.48
Methanocorpusculum parvum,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanocorpusculaceae,Methanocorpusculum,15,37,45,878981,51.4284727987816,1709133,RS_GCF_002287215.1,1506232,88.12842534782256,SAMN04229038,none,none,none,TRUE,0,Methanocorpusculum parvum,none,3,48,1732,19,48,95.07,0.53
Methanoculleus bourgensis,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanoculleus,37,40,45,1553345,60.887100093329025,2551189,GB_GCA_900079125.1,2138794,83.83518430033996,SAMEA3921042,none,Biogas plant,none,FALSE,0,Methanoculleus bourgensis,none,3,45,2528,19,47,99.9,0.55
Methanoculleus chikugoensis,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanoculleus,15,27.5,40,1638153,61.83676543141837,2649157,RS_GCF_900095385.1,2287727,86.35679199081066,SAMEA4384483,none,biogas sludge,none,TRUE,0,Methanoculleus chikugoensis,2649,3,47,2687,19,47,99.73,0.82
Methanoculleus horonobensis,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanoculleus,25,39.5,45,1517601,62.04150596907901,2446106,RS_GCF_001602375.1,2143885,87.64481179474643,SAMD00044723,none,none,none,TRUE,0,Methanoculleus horonobensis,2421,8,48,2441,19,48,99.85,0.76
Methanoculleus marisnigri,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanoculleus,15,22.5,48,1588894,61.57728193153963,2582043,GB_GCA_002503885.1,2219317,85.95197678737341,SAMN06027135,none,none,none,TRUE,none,Methanoculleus marisnigri,none,none,none,2670,19,45,96.68,1.48
Methanoculleus receptaculi,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanoculleus,30,52.5,65,1170292,59.0942853925583,1980381,RS_GCF_033472595.1,1717578,86.72967474440524,SAMN38028080,none,none,none,TRUE,0,Methanoculleus receptaculi,none,3,47,2044,19,47,99.76,0.04
Methanoculleus sediminis,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanoculleus,20,37,50,1551000,62.32985877524841,2489717,RS_GCF_001017125.1,2182669,87.66735335783143,SAMN03288802,Taiwan: SW; 96 Mud Volcano Group; Offshore,deep-sea sediment,22.14383 N 120.32483 E,TRUE,0,Methanoculleus sediminis,2446,3,48,2474,19,47,99.97,0.33
Methanoculleus submarinus,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanoculleus,11,43,52,1528447,62.06856082848666,2462514,RS_GCF_025914035.1,2146276,87.15792072654206,SAMN31309218,Japan: Nankai Trough,deep-sea sediment,none,FALSE,0,Methanoculleus submarinus,none,3,48,2466,19,48,99.76,0.29
Methanoculleus taiwanensis,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanoculleus,20,37,42,1649477,59.97286912461296,2750720,RS_GCF_004102725.1,2432242,88.42201314564915,SAMN03856099,Taiwan,marine sediment 68-114 cm below the seafloor around the deformation front 1624 m below sea level offshore of south-western Taiwan,21.9675 N 119.72783333 E,TRUE,0,Methanoculleus taiwanensis,none,7,48,2673,19,50,99.98,1.57
Methanoculleus thermophilus,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanoculleus,37,55,65,1318917,59.3242279830967,2223235,RS_GCF_001571405.1,1950825,87.7471342435685,SAMD00044722,none,none,none,TRUE,0,Methanoculleus thermophilus,2215,6,53,2270,19,54,99.49,0.27
Methanofervidicoccus abyssi,Archaea,Euryarchaeota,Methanococci,Methanococcales,NA,Methanofervidicoccus,60,70,80,461181,35.25452414751553,1308147,RS_GCF_004310395.1,1089504,83.28605271425917,SAMD00112196,Atlantic Ocean:Caribbean Sea; Cayman trench,hydrothermal vent chimney,18.3764 N 81.7982 W,TRUE,0,Methanofervidicoccus abyssi,none,5,35,1258,19,35,99.67,0.04
Methanofollis aquaemaris,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanofollis,20,37,43,1635388,59.54625956155222,2746416,RS_GCF_017357525.1,2351867,85.63404087363313,SAMN03254450,Taiwan: aquaculture fish pond near Wang-gong,water sample,none,TRUE,0,Methanofollis aquaemaris,none,4,50,2551,19,50,99.76,0.51
Methanofollis ethanolicus,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanofollis,15,37,40,1637439,60.33498494609075,2713913,RS_GCF_001571385.1,2340549,86.24259510161158,SAMD00044721,none,none,none,TRUE,0,Methanofollis ethanolicus,2605,4,51,2661,19,51,99.73,1.46
Methanofollis formosanus,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanofollis,20,40,42,1788907,60.31728744890128,2965921,RS_GCF_019633745.1,2456041,82.8087127067781,SAMN11125589,Taiwan: Wang-gong; Changhua County,aquaculture fishpond,none,TRUE,0,Methanofollis formosanus,none,4,51,2672,19,51,99.13,0.63
Methanofollis liminatans,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanofollis,15,40,44,1078810,62.21719065574282,1733942,GB_GCA_036677585.1,1574019,90.77691179981798,SAMN34210194,none,none,none,FALSE,none,Methanofollis liminatans,none,none,none,1928,17,31,83.47,0.07
Methanofollis tationis,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanofollis,25,42,44,1374864,61.13995720224341,2248716,RS_GCF_013377755.1,1988798,88.4414928341329,SAMN15339967,Chile: the oasis of San Petro di Atacama on Mount Tatio,none,none,TRUE,0,Methanofollis tationis,none,6,50,2313,19,50,99.33,0.19
Methanogenium cariaci,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanogenium,15,22.5,35,1398618,52.058200512684415,2686643,RS_GCF_001315945.1,2222009,82.70577817745044,SAMD00000408,none,none,none,TRUE,0,Methanogenium cariaci JCM 10550,3236,6,45,4256,19,46,59.42,2.2
Methanogenium marinum,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanogenium,5,25,25,1077571,48.17548760216778,2236762,RS_GCF_028912405.1,1912415,85.49926187944895,SAMN24813622,USA: Skan Bay; Alaska,marine sediment collected by a multicore,53.62 N 167.05 W,TRUE,0,Methanogenium marinum,none,9,39,2127,17,39,81.46,0.7
Methanogenium organophilum,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanogenium,30,32.5,39,1319845,49.84000235634953,2648164,RS_GCF_026684035.1,2288198,86.406959689807735,SAMN31875339,Mexico: Guaymas Basin; Gulf of California,marine sediment,27.00 N 111.41 W,TRUE,0,Methanogenium organophilum,none,11,49,2572,19,49,99.88,1.61
Methanohalobium evestigatum,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanohalobium,37,40,60,876469,36.42495819189504,2406232,RS_GCF_000196655.1,2076021,86.27684279820068,SAMN00015125,USSR: Crimea,mud from a salt lagoon,45.3453 N 34.49973 E,TRUE,0,Methanohalobium evestigatum Z-7303,2339,6,50,2403,19,50,99.89,0.02
Methanohalophilus halophilus,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanohalophilus,18,31,40,857743,42.400414442408376,2022959,RS_GCF_001889405.1,1817710,89.854020768587,SAMN05756399,Australia: Shark Bay,Microbial mat; Hamelin Pool,26.39 S 114.16 E,TRUE,0,Methanohalophilus halophilus,2010,4,49,2038,19,49,99.97,0.1
Methanohalophilus levihalophilus,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanohalophilus,20,35,40,899731,42.52016767406581,2116010,RS_GCF_017874375.1,1907834,90.16186123884104,SAMN18247105,none,none,none,TRUE,0,Methanohalophilus levihalophilus,none,2,46,2225,18,46,98.84,0.15
Methanohalophilus portucalensis,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanohalophilus,25,40,48,874349,41.94979069460604,2084975,RS_GCF_002761295.1,1857507,89.09013297521552,SAMN05908879,Portugal: Figeria da Foz; solar saltern,sediments from a salinarium in Figeria da Foz,40.15105 N 8.870116 W,TRUE,0,Methanohalophilus portucalensis,2081,7,49,2108,19,49,99.99,0.1
Methanolacinia paynteri,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanolacinia,25,40,42,1324222,47.53894380718794,2791704,RS_GCF_000784355.1,2433198,87.15816576542498,SAMN03196739,none,none,none,TRUE,0,Methanolacinia paynteri,2768,7,47,2770,19,47,98.23,1.12
Methanolacinia petrolearia,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanolacinia,17,40,41,1347696,47.39917489950023,2843290,RS_GCF_000147875.1,2502680,88.02056772260305,SAMN00017400,none,off shore oil field from Gulf of Guinea,none,TRUE,0,Methanolacinia petrolearia DSM 11571,2814,7,48,2821,19,48,99.89,1
Methanolinea mesophila,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanoregulaceae,Methanolinea,20,37,40,1528166,57.39924765573207,2662345,RS_GCF_017873855.1,2297484,86.2955026489805,SAMN18245708,none,none,none,TRUE,0,Methanolinea mesophila,none,4,47,2525,19,47,98.98,0.91
Methanolinea tarda,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanoregulaceae,Methanolinea,35,50,55,848139,54.83057027377175,1546836,GB_GCA_037916685.1,1379316,89.17015119896357,SAMN38376951,none,none,none,TRUE,none,Methanolinea tarda,none,none,none,1850,16,31,78.16,1.9
Methanolobus bombayensis,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanolobus,15,37,40,1240058,39.71884218584346,3122090,RS_GCF_017873415.1,2735485,87.61710905194917,SAMN18247048,none,none,none,TRUE,0,Methanolobus bombayensis,none,5,47,2877,19,47,99.98,2.48
Methanolobus chelungpuianus,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanolobus,24,37,45,1251323,48.24930314912204,2598553,RS_GCF_024500045.1,2237906,86.12123747331688,SAMN03196696,Taiwan: Chelungpu fault,a sandstone sample at 545 m below land surface,none,TRUE,0,Methanolobus chelungpuianus,none,3,52,2568,19,52,99.99,0.57
Methanolobus profundi,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanolobus,9,30,37,1322597,42.583387289799184,3107200,RS_GCF_900114835.1,2736093,88.05654608650876,SAMN04488696,none,none,none,TRUE,0,Methanolobus profundi,2871,8,50,2922,19,50,99.96,0.34
Methanolobus psychrophilus,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanolobus,0,18,25,1370789,44.61087052101866,3072769,GB_GCA_000306725.1,2638662,85.87244924691703,SAMN00739943,none,none,none,TRUE,0,Methanolobus psychrophilus R15,none,10,52,3004,19,53,99.97,0.59
Methanolobus psychrotolerans,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanolobus,0,33.5,37,1307940,41.328761682309434,3164721,RS_GCF_002243045.1,2735775,86.44600898467827,SAMN05413111,Russia: Lake Shira,lake sediments,none,TRUE,0,Methanolobus psychrotolerans,2989,7,48,3052,19,48,100,1.3
Methanolobus tindarius,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanolobus,10,37,40,1254128,39.78985233887468,3151883,RS_GCF_000504205.1,2759503,87.55093383859743,SAMN02597164,Italy,not provided; submitted under MIGS 2.1,38.132591 N 15.05422 E,TRUE,0,Methanolobus tindarius DSM 2278,2909,9,51,2955,19,51,99.95,0.18
Methanolobus vulcani,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanolobus,10,28,40,1173863,40.19839228758286,2920174,RS_GCF_006546655.1,2538425,86.92718310621217,SAMN12136587,USA: southwest branch Back River; Virginia,sediment,none,TRUE,0,Methanolobus vulcani,none,3,50,2771,19,50,99.99,0.25
Methanolobus zinderi,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanolobus,25,45,50,1191868,44.06242918083974,2704953,RS_GCF_013388255.1,2369793,87.60939654034654,SAMN15340093,USA: Wilcox coal seam; Monroe; LA,a deep subsurface coal seam,none,TRUE,0,Methanolobus zinderi,none,6,51,2659,19,51,99.96,0.59
Methanomassiliicoccus luminyensis,Archaea,Euryarchaeota,Thermoplasmata,Methanomassiliicoccales,Methanomassiliicoccaceae,Methanomassiliicoccus,25,37,45,1584687,60.4788581778796,2620233,RS_GCF_902383895.1,2293764,87.54045918817144,SAMEA5851665,none,human gut,none,FALSE,0,Methanomassiliicoccus luminyensis,none,4,47,2607,19,47,99.69,4.29
Methanomethylovorans hollandica,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanomethylovorans,12,35.5,40,1136277,41.86704337820048,2714013,RS_GCF_000328665.1,2345842,86.43444228159555,SAMN02261367,Netherlands: The Dekkerswald Institute; Nijmegen,Anaerobic top layer (5 to 10 cm) of sediment (depth; 50 cm) in a eutrophic freshwater pond at the Dekkerswald Institute; Nijmegen; The Netherlands,none,TRUE,0,Methanomethylovorans hollandica DSM 15978,2574,6,52,2638,19,52,99.99,0.31
Methanomicrobium antiquum,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanomicrobium,15,35,40,918217,37.66076896764154,2438126,RS_GCF_029633915.1,2059762,84.48135986409234,SAMN25047802,Japan: Minami-Kanto gas field; Chiba,sediment and formation water samples (The isolate was bought from DSMZ in our study),35.408611 N 140.360278 E,TRUE,0,Methanomicrobium antiquum,none,10,52,2327,19,52,99.7,0.63
Methanomicrobium mobile,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanomicrobium,30,40,45,890043,49.082667210777814,1813355,GB_GCA_040307525.1,1575046,86.85811658500404,SAMN37796783,none,none,none,FALSE,none,Methanomicrobium mobile,none,none,none,1764,19,49,93.23,0.13
Methanonatronarchaeum thermophilum,Archaea,Euryarchaeota,Methanonatronarchaeia,Methanonatronarchaeales,Methanonatronarchaeaceae,Methanonatronarchaeum,30,50,60,573455,37.89844402618139,1513137,RS_GCF_002153915.1,1284558,84.89370096693162,SAMN05770049,Russia: Altai region,hypersaline soda lakes,51.39 N 79.50 E,TRUE,0,Methanonatronarchaeum thermophilum,1502,3,40,1523,19,41,100,1.48
Methanoplanus endosymbiosus,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanoplanus,16,32,36,1337400,42.2823623365131,3163021,RS_GCF_024662215.1,2737534,86.54808172313747,SAMN25349865,none,bought from DSMZ,none,TRUE,0,Methanoplanus endosymbiosus,none,16,59,2866,19,59,99.1,0.18
Methanoplanus limicola,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanoplanus,17,40,41,1350606,42.20319312952817,3200946,RS_GCF_000243255.1,2768178,86.47999685093095,SAMN02261391,Italy,Mud of drilling swamp from Italy,none,TRUE,0,Methanoplanus limicola DSM 2279,3028,7,56,3049,19,56,99.29,0.62
Methanopyrus kandleri,Archaea,Euryarchaeota,Methanopyri,Methanopyrales,Methanopyraceae,Methanopyrus,85,100,122,862321,60.48166726985544,1426055,RS_GCF_013329715.1,1310593,91.90339783528684,SAMN13193046,none,none,none,FALSE,0,Methanopyrus kandleri,none,4,34,1547,19,34,94.25,0.19
Methanopyrus kandleri,Archaea,Euryarchaeota,Methanopyri,Methanopyrales,Methanopyraceae,Methanopyrus,84,98,110,862321,60.48166726985544,1426055,RS_GCF_013329715.1,1310593,91.90339783528684,SAMN13193046,none,none,none,FALSE,0,Methanopyrus kandleri,none,4,34,1547,19,34,94.25,0.19
Methanoregula boonei,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanoregulaceae,Methanoregula,10,36,40,1386250,54.51360883826338,2542943,RS_GCF_000017625.1,2205863,86.74449250337109,SAMN02598409,none,none,none,TRUE,0,Methanoregula boonei 6A8,2535,3,49,2527,19,49,99.98,0.27
Methanoregula formicica,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanoregulaceae,Methanoregula,10,31.5,40,1556999,55.1959368390752,2820858,RS_GCF_000327485.1,2459451,87.18804704100667,SAMN02232038,Japan,methanogenic sludge in a mesophilic upflow anaerobic sludge blanket (UASB) reactor used to treat a beer brewery effluent,none,TRUE,0,Methanoregula formicica SMSP,2824,3,48,2880,19,48,99.97,0.66
Methanosaeta harundinacea,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanotrichaceae,Methanothrix,25,35.5,45,1378101,58.8420578010396,2342380,GB_GCA_002506535.1,2034787,86.86835611642859,SAMN06027621,Canada: Near Fort McMurray in northeastern Alberta,waste water,none,TRUE,none,Methanothrix harundinacea,0,none,none,2292,19,46,99.91,0.28
Methanosarcina acetivorans,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,15,37.5,45,1853217,43.67908283252436,4257361,RS_GCF_013329655.1,3167706,74.40538869031778,SAMN13193048,none,none,none,FALSE,0,Methanosarcina acetivorans,none,3,45,3662,19,45,98.5,0.11
Methanosarcina flavescens,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,20,45,55,1356348,41.30562952387681,3283688,RS_GCF_001304615.2,2479950,75.52331402983475,SAMN04074913,Germany: near Cologne,Anaerobic digester sludge,none,TRUE,0,Methanosarcina flavescens,2833,9,52,2826,19,52,99.99,0.27
Methanosarcina horonobensis,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,20,37,42,2073239,41.311045076851,5018607,RS_GCF_000970285.1,3807400,75.86567348270148,SAMN03074578,none,none,none,TRUE,0,Methanosarcina horonobensis HB-1 = JCM 15518,4385,9,58,4415,19,58,99.95,1.63
Methanosarcina lacustris,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,1,25,35,1731383,41.822785018049146,4139808,RS_GCF_000970265.1,3022016,72.99894101368952,SAMN03074579,none,none,none,TRUE,0,Methanosarcina lacustris Z-7289,3454,9,56,3469,19,57,99.96,0.22
Methanosarcina mazei,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,20,40,45,1578401,41.898429818581825,3767682,GB_GCA_030539765.1,2869981,76.17365265964591,SAMN36400204,Germany: Zoo Saarbruecken,feces,49.2307 N 7.0407 E,FALSE,0,Methanosarcina mazei,none,3,54,3196,19,54,99.95,0.93
Methanosarcina siciliae,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,20,35,40,2154560,42.94041045464746,5017558,RS_GCF_000970085.1,3839239,76.51608611200906,SAMN03074589,none,none,none,TRUE,0,Methanosarcina siciliae T4/M,4235,9,56,4232,19,56,99.99,1.03
Methanosarcina soligelidi,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,0,28,54,1686838,41.50177537387169,4064496,RS_GCF_000744315.1,3086594,75.94038719683819,SAMN02745719,none,none,none,FALSE,0,Methanosarcina soligelidi,3406,9,58,3461,19,58,99.96,1.65
Methanosarcina spelaei,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,0,33,54,1971774,38.74885037141846,5088600,RS_GCF_002287235.1,3626788,71.27280587980977,SAMN04229036,Romania,none,none,TRUE,0,Methanosarcina spelaei,4329,3,59,4428,19,59,99.9,1.62
Methanosarcina thermophila,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,35,50,55,1279635,41.28564685476567,3100602,RS_GCF_900116525.1,2353421,75.90206675993888,SAMN02910340,none,none,none,FALSE,0,Methanosarcina thermophila,none,12,56,2687,19,56,99.86,0.34
Methanosarcina vacuolata,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,18,38.5,42,1068661,39.39708863064775,2713112,GB_GCA_034005665.1,1946483,71.74355500252109,SAMN36910952,none,none,none,FALSE,0,Methanosarcina vacuolata,none,0,36,2590,17,37,67.6,0.07
Methanosphaera stadtmanae,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanosphaera,30,38,40,621769,29.391655057691917,2116421,GB_GCA_015062805.1,1824546,86.20902929993608,SAMN11294309,USA: Santa Barbara Zoo,feces,34.4149 N 119.841 W,TRUE,0,Methanosphaera stadtmanae,none,3,30,1939,17,31,99.92,0.75
Methanosphaerula palustris,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanoregulaceae,Methanosphaerula,14,29,35,1617942,55.35367579715743,2922917,RS_GCF_000021965.1,2513681,85.99905505356465,SAMN00001866,USA: New York,organically rich wetland,none,TRUE,0,Methanosphaerula palustris E1-9c,2769,12,56,2779,19,56,99.11,0.51
Methanospirillum hungatei,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanospirillaceae,Methanospirillum,20,37,50,1389520,46.227959278727795,3005800,RS_GCF_020216685.1,2695444,89.67476212655532,SAMN16861154,India: Khirganga hotspring; Himachal Pradesh; Northern Hiamayas,microbial mat,31.5934 N 77.3035 E,TRUE,0,Methanospirillum hungatei,none,1,41,3103,17,41,90.36,0.9
Methanospirillum lacunae,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanospirillaceae,Methanospirillum,15,30,37,1614564,43.127482670223934,3743701,RS_GCF_003173355.1,3262809,87.1546365481645,SAMN09236929,Japan: Chiba; Kisarazu,soil,35.22 N 139.55 E,TRUE,0,Methanospirillum lacunae,3414,3,49,3419,19,49,99.94,1.8
